,Username,Title,Description,ReplyFrom,Reply
10,NKRUMAH/VINCENT,If there are any apps you can buy…,"If there are any apps you can buy cryptocurrency use that. don't ever use the crypto.com app, I have a locked account and need to unlock it, I spent over 4 hours. taking pictures holden paper. very poor customer service. don't waste your money here",Crypto.com,"Hi there, we would be more than happy to help you out with any difficulties encountered with your account. Please reach out to us via the in-app or web chat or at contact@crypto.com, so we can take a look and assist you."
11,cb cvb,"Attempted to buy 12 SOL, double charged","Attempted to buy 12 SOL, was met with a white screen saying “transaction declined by issuer”. So I went to make the purchase again, which showed as green and completed. I then checked my crypto wallet which had 24 SOL. I have no use for that much SOL currently, so I contacted support and asked for the transaction to be reversed, since it was caused by an error in their system showing me a transaction failed. I was told SOL withdrawals are “delayed”. Note this was not a withdrawal, but a purchase or deposit. They refused to return the purchase. Then when I went to use the SOl, I realized that I cannot do anything with it because their SOl transactions are “delayed” according to the status page. Simple not true, they are not working at all. Now I have twice the SOL I wanted, and can do nothing with it. Huge let down will be going back to using coinbase.",Crypto.com,"Hello there, please send us a message via the in-app or web chat or email us at contact@crypto.com. We will be more than happy to look into the transactions for you and assist you accordingly. Thank you in advance!"
12,Kim Blake,They are holding your luna asset to so…,,Crypto.com,"Hello Kim! We would be happy to offer further information and insight on your query. We invite you to reach us via the in-app chat or to send us an email at contact@crypto.com, so we can offer assistance on the matter and help out. Thank you in advance. "
13,Kyle,Crypto app is not easy to navigate at…,"Crypto app is not easy to navigate at all, I opened an account this morning and have spent £30 trying to withdraw my funds in fees however crypto.com thinks it acceptable to keep my money until they’re satisfied I can have it back.",Crypto.com,
14,Vince,The Absolute Worst,"Worst customer service experience in the crypto industry, and it's not even close. Mysteriously losing 15-20% on sales and they blame me for not taking screenshots from other sites to ""prove"" the correct currently price at time of sale. Also, their 24-hour withdrawal wait period for external wallets is a joke. In what world is 2FA and two-step verification not sufficient? Avoid at all costs and you'll be infinitely happier.",Crypto.com,
15,Patrick McPatrick,CRIMINALS,,Crypto.com,
16,rodel aguila,I have a horrible first time experience…i’ve been scammed,"I have a horrible first time experience with this platform. After a week passed, money i transferred to my crypto account remains to be unaccounted for. Customer service keeps on asking me to ask the bank to issue a transaction report of my transfer with the bsnk details snd sender’s name. According to the bank, the status of the transfer says it has been received and they already have the bank details snd name of sender. I sent them the transaction report generated by the transfer with the transaction reference number. The issue was elevated but to no avail. The bank believes i have been scammed bt crypto.com. This serves as a aarning to potential traders",Crypto.com,
17,Artur Bendelgo,To be honest,To be honest. It's not a best platform which I used for crypto. A lot of misunderstanding between me and support.,Crypto.com,Hello! We would be happy to clear up any concerns and assist with any enquiries you have. Please message us via the in-app chat or email us at contact@crypto.com.
18,Ahmed Mourd,Deceptive and misleading customer…,,Crypto.com,Hello! We would gladly assist with the case at hand and clear up any concerns. Please email us at contact@crypto.com or use the in-app chat to send us a message.
19,CRAIG,They are not what they use to be.,They are not what they use to be. Now they are turned into scammers stealing your crypto even if you have a 2auth and they block your account once your crypto are stolen pretending that someone else had access to your account. Stay away from the scammers! Another firm to get a letter from my lawyer bloody chineses crooks!,Crypto.com,Hello there! We would like to take an additional look at the status of your account and assist as well as clear any concerns. Please get in touch with us via webchat or at contact@crypto.com. Thank you in advance!
